State/ UT Name (Col.1),Year-(Col.2),Geogra-phical Area-(Col.3),Reporting area for land utilisationstatistics (col.4+7+11+14+15)-(Col.4),Forests-(Col.5),Not available for cultivation-Area under non-agri-cultural uses-(Col.6),Not available for cultivation-Barren & uncultur-able land-(Col.7),Not available for cultivation-Total (Col.6+Col.7)-(Col8),Other uncultivated land excluding-Fallow Land-Permanent pastures & other grazing lands-(Col.9),Other uncultivated land excluding-Fallow Land-Land under misc. tree crops & groves (not incl. in net area sown)-(Col.10),Other uncultivated land excluding-Fallow Land-Culturable waste land-(Col.11),Fallow Land-Total (Col.9 to Col.11)-(Col.12),Fallow Lands-Fallow lands other than current fallows-(Col.13),Fallow Lands-Current fallows-(Col.14),Fallow Lands-Total(Col.13+Col.14)-(Col.15),Net area Sown-(Col.16),Total Cropped Area-(Col.17),Area sown more than once (col.17-Col.16)-(Col.18),Agri. Land/Culti-vable land/Cultur-able land/Arable land (Col.10+Col.11+Col.12+Col.13)-(Col.19),Cultivated land (Col.14+Col.15)-(Col.20),Un-cultivable land (Col.4-Col.18)-(Col.21),Un-cultivated land (Col.4-Col.20)-(Col.22)
Andhra Pradesh,2003-04,27507,27440,6199,2692,2084,4775,676,277,701,1654,1658,3036,4693,10118,12366,2248,15789,13154,11651,14286
Andhra Pradesh,2004-05,27507,27440,6199,2712,2084,4796,676,278,694,1648,1651,2819,4469,10327,12519,2191,15769,13146,11671,14294
Andhra Pradesh,2005-06,27507,27440,6199,2709,2084,4793,676,278,692,1646,1623,2434,4057,10745,13362,2617,15772,13179,11668,14261
Andhra Pradesh,2006-07,27507,27505,6210,2683,2098,4781,602,320,695,1618,1583,3166,4749,10147,12811,2664,15911,13313,11593,14191
Andhra Pradesh,2007-08,27507,27505,6210,2725,2059,4784,571,306,659,1535,1500,2719,4219,10756,13567,2811,15939,13475,11565,14030
Andhra Pradesh,2008-09,27507,27505,6210,2742,2056,4797,569,299,650,1517,1488,2624,4111,10868,13830,2962,15928,13492,11576,14013
Andhra Pradesh,2009-10,27507,27505,6210,2765,2043,4808,566,295,647,1508,1627,3361,4987,9991,12560,2569,15921,13352,11584,14152
Andhra Pradesh,2010-11,27507,27505,6230,2872,2026,4899,554,290,626,1471,1490,2229,3719,11186,14512,3326,15821,13415,11683,14089
Andhra Pradesh,2011-12,27507,27505,6230,2803,2024,4827,553,289,614,1455,1558,2273,3831,11161,13759,2599,15894,13434,11610,14071
Andhra Pradesh,2012-13,27507,27505,6227,2873,1959,4833,515,278,587,1380,1610,2337,3947,11117,13650,2533,15930,13454,11574,14050
Andhra Pradesh,2013-14,16020,16020,3493,2095,1341,3436,212,160,392,764,792,1087,1879,6448,8128,1680,8879,7536,7142,8485
Arunachal Pradesh,2003-04,8374,5648,5154,22,41,64,16,36,68,120,75,34,109,201,254,53,414,235,5234,5413
Arunachal Pradesh,2004-05,8374,5651,5154,23,42,65,18,37,67,122,74,35,109,202,255,53,414,237,5237,5415
Arunachal Pradesh,2005-06,8374,7279,6777,23,42,65,18,37,67,122,74,36,109,206,266,61,418,241,6861,7038
Arunachal Pradesh,2006-07,8374,7283,6777,23,42,65,18,37,67,122,73,37,110,209,271,62,422,246,6861,7037
Arunachal Pradesh,2007-08,8374,7241,6735,25,39,64,18,37,67,122,69,41,110,210,272,62,423,251,6818,6990
Arunachal Pradesh,2008-09,8374,7241,6735,25,39,64,18,37,65,120,70,40,110,211,276,65,422,251,6818,6990
Arunachal Pradesh,2009-10,8374,7242,6735,26,38,64,18,38,64,120,70,40,109,212,276,64,424,252,6818,6990
Arunachal Pradesh,2010-11,8374,7242,6735,26,38,64,18,37,64,120,70,40,109,213,278,65,424,253,6818,6989
Arunachal Pradesh,2011-12,8374,7255,6748,26,38,64,18,37,64,119,69,39,108,215,281,67,424,254,6831,7001
Arunachal Pradesh,2012-13,8374,7255,6748,26,38,64,18,36,64,119,69,38,107,216,285,69,424,254,6831,7001
Arunachal Pradesh,2013-14,8374,7239,6732,26,39,64,18,35,63,116,65,36,101,225,296,71,424,261,6815,6978
Assam,2003-04,7844,7850,1954,1065,1447,2512,160,209,77,445,60,127,186,2753,3957,1204,3224,2879,4626,4971
Assam,2004-05,7844,7850,1954,1065,1447,2512,160,209,77,445,59,126,186,2753,3896,1143,3224,2879,4626,4971
Assam,2005-06,7844,7850,1954,1065,1447,2512,160,209,77,445,59,126,186,2753,3949,1196,3224,2879,4626,4971
Assam,2006-07,7844,7850,1954,1065,1447,2512,160,209,77,445,59,126,186,2753,3763,1010,3224,2879,4626,4971
Assam,2007-08,7844,7850,1853,1218,1408,2626,160,196,77,432,59,126,186,2753,3839,1086,3211,2879,4639,4971
Assam,2008-09,7844,7850,1853,1218,1408,2626,160,196,77,432,50,79,128,2810,3999,1188,3211,2889,4639,4961
Assam,2009-10,7844,7850,1853,1218,1408,2626,160,196,77,432,50,79,128,2811,4099,1289,3211,2889,4639,4961
Assam,2010-11,7844,7850,1853,1218,1408,2626,160,196,77,432,50,79,128,2811,4160,1349,3211,2889,4639,4961
Assam,2011-12,7844,7850,1853,1212,1408,2620,160,196,78,434,52,81,132,2811,4174,1363,3217,2891,4633,4959
Assam,2012-13,7844,7844,1855,1262,1197,2459,173,228,145,546,86,88,175,2809,4076,1267,3356,2897,4488,4947
Assam,2013-14,7844,7844,1853,1274,1192,2466,168,222,144,534,85,87,172,2820,4100,1280,3357,2906,4487,4938
Bihar,2003-04,9416,9360,622,1645,436,2081,18,238,46,302,130,513,643,5712,7882,2170,6640,6225,2720,3134
Bihar,2004-05,9416,9360,622,1646,436,2082,17,239,46,303,133,648,781,5572,7399,1827,6639,6220,2721,3139
Bihar,2005-06,9416,9360,622,1647,436,2083,17,240,46,303,129,666,796,5556,7396,1840,6638,6222,2722,3137
Bihar,2006-07,9416,9360,622,1647,436,2083,17,241,46,303,120,566,686,5665,7719,2054,6638,6232,2722,3128
Bihar,2007-08,9416,9360,622,1653,432,2085,16,241,46,303,119,569,688,5662,7765,2102,6637,6231,2723,3129
Bihar,2008-09,9416,9360,622,1670,432,2102,16,243,45,304,122,655,777,5554,7671,2117,6620,6209,2740,3150
