state,year,Geogra-phical Area-(Col.3),Reporting area for land utilisationstatistics (col.4+7+11+14+15)-(Col.4),Forests-(Col.5),Not available for cultivation-Area under non-agri-cultural uses-(Col.6),Not available for cultivation-Barren & uncultur-able land-(Col.7),Not available for cultivation-Total (Col.6+Col.7)-(Col8),Other uncultivated land excluding-Fallow Land-Permanent pastures & other grazing lands-(Col.9),Other uncultivated land excluding-Fallow Land-Land under misc. tree crops & groves (not incl. in net area sown)-(Col.10),Other uncultivated land excluding-Fallow Land-Culturable waste land-(Col.11),Fallow Land-Total (Col.9 to Col.11)-(Col.12),Fallow Lands-Fallow lands other than current fallows-(Col.13),Fallow Lands-Current fallows-(Col.14),Fallow Lands-Total(Col.13+Col.14)-(Col.15),Net area Sown-(Col.16),Total Cropped Area-(Col.17),Area sown more than once (col.17-Col.16)-(Col.18),Agri. Land/Culti-vable land/Cultur-able land/Arable land (Col.10+Col.11+Col.12+Col.13)-(Col.19),Cultivated land (Col.14+Col.15)-(Col.20),Un-cultivable land (Col.4-Col.18)-(Col.21),Un-cultivated land (Col.4-Col.20)-(Col.22),production
Andhra Pradesh,2004,27507,27440,6199.0,2692,2084.0,4775,676.0,277.0,701.0,1654.0,1658.0,3036.0,4693.0,10118,12366,2248.0,15789,13154,11651,14286,1214759297.0
Andhra Pradesh,2005,27507,27440,6199.0,2712,2084.0,4796,676.0,278.0,694.0,1648.0,1651.0,2819.0,4469.0,10327,12519,2191.0,15769,13146,11671,14294,910788024.0
Andhra Pradesh,2006,27507,27440,6199.0,2709,2084.0,4793,676.0,278.0,692.0,1646.0,1623.0,2434.0,4057.0,10745,13362,2617.0,15772,13179,11668,14261,1346438599.0
Andhra Pradesh,2007,27507,27505,6210.0,2683,2098.0,4781,602.0,320.0,695.0,1618.0,1583.0,3166.0,4749.0,10147,12811,2664.0,15911,13313,11593,14191,32008000.0
Andhra Pradesh,2008,27507,27505,6210.0,2725,2059.0,4784,571.0,306.0,659.0,1535.0,1500.0,2719.0,4219.0,10756,13567,2811.0,15939,13475,11565,14030,992191065.0
Andhra Pradesh,2009,27507,27505,6210.0,2742,2056.0,4797,569.0,299.0,650.0,1517.0,1488.0,2624.0,4111.0,10868,13830,2962.0,15928,13492,11576,14013,1166251699.0
Andhra Pradesh,2010,27507,27505,6210.0,2765,2043.0,4808,566.0,295.0,647.0,1508.0,1627.0,3361.0,4987.0,9991,12560,2569.0,15921,13352,11584,14152,28738873.0
Andhra Pradesh,2011,27507,27505,6230.0,2872,2026.0,4899,554.0,290.0,626.0,1471.0,1490.0,2229.0,3719.0,11186,14512,3326.0,15821,13415,11683,14089,1452099668.0
Andhra Pradesh,2012,27507,27505,6230.0,2803,2024.0,4827,553.0,289.0,614.0,1455.0,1558.0,2273.0,3831.0,11161,13759,2599.0,15894,13434,11610,14071,1701192929.0
Andhra Pradesh,2013,27507,27505,6227.0,2873,1959.0,4833,515.0,278.0,587.0,1380.0,1610.0,2337.0,3947.0,11117,13650,2533.0,15930,13454,11574,14050,1645886913.0
Andhra Pradesh,2014,16020,16020,3493.0,2095,1341.0,3436,212.0,160.0,392.0,764.0,792.0,1087.0,1879.0,6448,8128,1680.0,8879,7536,7142,8485,2132282252.0
Arunachal Pradesh,2004,8374,5648,5154.0,22,41.0,64,16.0,36.0,68.0,120.0,75.0,34.0,109.0,201,254,53.0,414,235,5234,5413,323203.0
Arunachal Pradesh,2005,8374,5651,5154.0,23,42.0,65,18.0,37.0,67.0,122.0,74.0,35.0,109.0,202,255,53.0,414,237,5237,5415,339922.0
Arunachal Pradesh,2006,8374,7279,6777.0,23,42.0,65,18.0,37.0,67.0,122.0,74.0,36.0,109.0,206,266,61.0,418,241,6861,7038,361200.0
Arunachal Pradesh,2007,8374,7283,6777.0,23,42.0,65,18.0,37.0,67.0,122.0,73.0,37.0,110.0,209,271,62.0,422,246,6861,7037,372950.0
Arunachal Pradesh,2008,8374,7241,6735.0,25,39.0,64,18.0,37.0,67.0,122.0,69.0,41.0,110.0,210,272,62.0,423,251,6818,6990,388844.0
Arunachal Pradesh,2009,8374,7241,6735.0,25,39.0,64,18.0,37.0,65.0,120.0,70.0,40.0,110.0,211,276,65.0,422,251,6818,6990,562353.6
Arunachal Pradesh,2010,8374,7242,6735.0,26,38.0,64,18.0,38.0,64.0,120.0,70.0,40.0,109.0,212,276,64.0,424,252,6818,6990,399345.0
Arunachal Pradesh,2011,8374,7242,6735.0,26,38.0,64,18.0,37.0,64.0,120.0,70.0,40.0,109.0,213,278,65.0,424,253,6818,6989,420643.0
Arunachal Pradesh,2012,8374,7255,6748.0,26,38.0,64,18.0,37.0,64.0,119.0,69.0,39.0,108.0,215,281,67.0,424,254,6831,7001,434489.0
Arunachal Pradesh,2013,8374,7255,6748.0,26,38.0,64,18.0,36.0,64.0,119.0,69.0,38.0,107.0,216,285,69.0,424,254,6831,7001,450274.0
Arunachal Pradesh,2014,8374,7239,6732.0,26,39.0,64,18.0,35.0,63.0,116.0,65.0,36.0,101.0,225,296,71.0,424,261,6815,6978,481342.0
Assam,2004,7844,7850,1954.0,1065,1447.0,2512,160.0,209.0,77.0,445.0,60.0,127.0,186.0,2753,3957,1204.0,3224,2879,4626,4971,210699056.0
Assam,2005,7844,7850,1954.0,1065,1447.0,2512,160.0,209.0,77.0,445.0,59.0,126.0,186.0,2753,3896,1143.0,3224,2879,4626,4971,6383577.0
Assam,2006,7844,7850,1954.0,1065,1447.0,2512,160.0,209.0,77.0,445.0,59.0,126.0,186.0,2753,3949,1196.0,3224,2879,4626,4971,141791862.0
Assam,2007,7844,7850,1954.0,1065,1447.0,2512,160.0,209.0,77.0,445.0,59.0,126.0,186.0,2753,3763,1010.0,3224,2879,4626,4971,153717001.0
Assam,2008,7844,7850,1853.0,1218,1408.0,2626,160.0,196.0,77.0,432.0,59.0,126.0,186.0,2753,3839,1086.0,3211,2879,4639,4971,187624086.0
Assam,2009,7844,7850,1853.0,1218,1408.0,2626,160.0,196.0,77.0,432.0,50.0,79.0,128.0,2810,3999,1188.0,3211,2889,4639,4961,194560655.0
Assam,2010,7844,7850,1853.0,1218,1408.0,2626,160.0,196.0,77.0,432.0,50.0,79.0,128.0,2811,4099,1289.0,3211,2889,4639,4961,195246435.0
Assam,2011,7844,7850,1853.0,1218,1408.0,2626,160.0,196.0,77.0,432.0,50.0,79.0,128.0,2811,4160,1349.0,3211,2889,4639,4961,13829070.0
Assam,2012,7844,7850,1853.0,1212,1408.0,2620,160.0,196.0,78.0,434.0,52.0,81.0,132.0,2811,4174,1363.0,3217,2891,4633,4959,13545793.0
Assam,2013,7844,7844,1855.0,1262,1197.0,2459,173.0,228.0,145.0,546.0,86.0,88.0,175.0,2809,4076,1267.0,3356,2897,4488,4947,15247299.0
Assam,2014,7844,7844,1853.0,1274,1192.0,2466,168.0,222.0,144.0,534.0,85.0,87.0,172.0,2820,4100,1280.0,3357,2906,4487,4938,15327493.0
Bihar,2004,9416,9360,622.0,1645,436.0,2081,18.0,238.0,46.0,302.0,130.0,513.0,643.0,5712,7882,2170.0,6640,6225,2720,3134,14635955.0
Bihar,2005,9416,9360,622.0,1646,436.0,2082,17.0,239.0,46.0,303.0,133.0,648.0,781.0,5572,7399,1827.0,6639,6220,2721,3139,16122533.0
Bihar,2006,9416,9360,622.0,1647,436.0,2083,17.0,240.0,46.0,303.0,129.0,666.0,796.0,5556,7396,1840.0,6638,6222,2722,3137,13076094.0
Bihar,2007,9416,9360,622.0,1647,436.0,2083,17.0,241.0,46.0,303.0,120.0,566.0,686.0,5665,7719,2054.0,6638,6232,2722,3128,19076582.89
Bihar,2008,9416,9360,622.0,1653,432.0,2085,16.0,241.0,46.0,303.0,119.0,569.0,688.0,5662,7765,2102.0,6637,6231,2723,3129,19691840.67
Bihar,2009,9416,9360,622.0,1670,432.0,2102,16.0,243.0,45.0,304.0,122.0,655.0,777.0,5554,7671,2117.0,6620,6209,2740,3150,14945390.0
Bihar,2010,9416,9360,622.0,1690,432.0,2121,16.0,244.0,45.0,305.0,122.0,858.0,980.0,5332,7296,1964.0,6601,6189,2759,3170,24115444.0
Bihar,2011,9416,9360,622.0,1700,432.0,2131,16.0,245.0,45.0,306.0,122.0,920.0,1042.0,5259,7194,1935.0,6591,6179,2769,3181,19817283.0
